name,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Lover,Fearless (Taylor's Version),Speak Now (Taylor's Version),Red (Taylor's Version),folklore,reputation Stadium Tour Surprise Song Playlist,1989 (Taylor's Version),Speak Now World Tour Live,Red,Midnights,Fearless,Speak Now,1989,evermore,Taylor Swift,Live From Clear Channel Stripped 2008,reputation
Snow On The Beach (feat. More Lana Del Rey),0.4666666666666667,-0.21030125015440138,0.6437308868501529,0.34014423076923084,-4.487850364552571,0.35540318548675104,0.2995357980757503,0.30653710247349825,0.17897083092222296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
peace,0.3111111111111111,-0.08470414173533566,0.617737003058104,0.18509615384615388,-5.094253014599986,0.2145561031354903,0.5879436643970757,0.33303886925795056,0.18766797402430402,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
champagne problems,0.022222222222222223,-0.08257060462424387,0.33486238532110096,0.1466346153846154,-4.3287579296955,0.2737661595600315,0.7405850235688302,0.31205830388692585,0.2091000664394865,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Treacherous,0.044444444444444446,-1.7728109585908085,0.7064220183486237,0.6045673076923077,-3.481158505766006,0.5588172273409042,0.30059047632713676,0.39487632508833925,0.20218393021710712,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Suburban Legends (Taylor's Version) (From The Vault),0.4222222222222222,-1.3165879511802434,0.7003058103975535,0.609375,-4.5889755221635085,0.5075351760588529,0.3582964435101414,0.31537102473498235,0.054398936968216224,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Wonderland,0.9111111111111111,-2.1580862645578716,0.2737003058103975,0.6899038461538461,-2.9548970775394667,0.747303764016856,0.8316676113331276,0.1762367491166078,0.21244347285625498,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Long Live (Taylor's Version),0.28888888888888886,-2.74533443736718,0.2018348623853211,0.639423076923077,-2.7819486445223016,0.8484393971859154,0.9742715904117549,0.04174028268551237,0.36761182194217623,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Untouchable - Live From Clear Channel Stripped 2008,0.06666666666666667,-0.15268063550643318,0.746177370030581,0.07932692307692309,-5.0562418821237145,0.4767516605956718,0.24614181476406055,0.32420494699646646,0.16400480078870103,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Speak Now,0.8888888888888888,-1.7838713958127628,0.7171253822629968,0.5829326923076923,-4.6947432201855746,0.868295121777016,0.3651123913932515,0.7471289752650176,0.20769840759553357,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Better Than Revenge,0.2,-2.698263374740004,0.41743119266055045,0.9603365384615385,-1.3868535315100958,0.908792229126491,0.5576449823861557,0.6598939929328622,0.15157633039713667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
