popularity
0.67
0.43
0.78
0.65
0.54
0.69
0.51
0.79
0.3
0.33
0.49
0.68
0.45
0.65
0.5
0.51
0.69
0.34
0.81
0.41
0.51
0.78
0.7
0.8
0.38
0.65
0.34
0.78
0.35
0.31
0.57
0.69
0.78
0.49
0.88
0.56
0.75
0.74
0.78
0.78
0.36
0.72
0.81
0.33
0.55
0.53
0.69
0.46
0.83
0.67
0.74
0.67
0.58
0.49
0.62
0.34
0.54
0.81
0.7
0.42
0.79
0.65
0.81
0.79
0.46
0.83
0.69
0.57
0.46
0.67
0.71
0.46
0.7
0.89
0.31
0.68
0.75
0.41
0.67
0.75
0.64
0.7
0.42
0.8
0.78
0.66
0.51
0.85
0.71
0.67
0.67
0.67
0.7
0.7
0.81
0.53
0.46
0.79
0.56
0.41
0.5
0.62
0.57
0.66
0.32
0.62
0.67
0.56
0.44
0.53
0.7
0.63
0.76
0.77
0.71
0.66
0.7
0.7
0.36
0.69
0.73
0.65
0.68
0.66
0.63
0.69
0.84
0.65
0.31
0.96
0.41
0.73
0.44
0.67
0.38
0.58
0.44
0.75
0.77
0.88
0.41
0.36
0.29
0.69
0.73
0.71
0.65
0.69
0.5
0.46
0.84
0.72
0.73
0.44
0.46
0.44
0.84
0.34
0.84
0.43
0.77
0.44
0.73
0.37
0.66
0.4
0.6
0.68
0.55
0.66
0.74
0.55
0.77
0.62
0.35
0.63
0.77
0.67
0.65
0.71
0.32
0.36
0.58
0.36
0.49
0.88
0.74
0.38
0.47
0.49
0.5
0.67
0.46
0.84
0.49
0.41
0.75
0.54
0.33
0.84
0.5
0.53
0.82
0.68
0.34
0.57
0.29
0.31
0.57
0.57
0.41
0.49
0.66
0.39
0.69
0.73
0.66
0.55
0.77
0.74
0.56
0.47
0.44
0.5
0.67
0.55
0.75
0.46
0.68
0.48
0.29
0.66
0.43
0.75
0.41
0.67
0.82
0.77
0.57
0.67
0.39
0.67
0.65
0.72
0.75
0.65
0.7
0.46
0.39
0.47
0.65
0.83
0.54
0.44
0.32
0.42
0.71
0.74
0.51
0.35
0.73
0.81
0.48
0.67
0.53
0.65
0.68
0.42
0.7
0.58
0.46
0.52
0.49
0.63
0.71
0.69
0.49
0.78
0.74
0.73
0.87
0.3
0.67
0.42
0.78
0.39
0.59
0.79
0.69
0.76
0.64
0.43
0.5
0.7
0.71
0.66
0.78
0.41
0.65
0.31
0.38
0.72
0.73
0.65
0.84
0.83
0.47
0.4
0.5
0.52
0.44
0.84
0.43
0.46
0.31
0.55
0.63
0.52
0.78
0.5
0.69
0.56
0.41
0.76
0.31
0.8
0.65
0.7
0.78
0.5
0.35
0.64
0.38
0.7
0.66
0.67
0.42
0.67
0.56
0.65
0.73
0.36
0.63
0.66
0.76
0.5
0.8
0.45
0.5
0.56
0.65
0.31
0.44
0.75
0.32
0.79
0.55
0.64
0.41
0.65
0.56
0.75
0.65
0.33
0.58
0.73
0.74
0.33
0.34
0.71
0.72
0.54
0.68
0.42
0.67
0.49
0.67
0.55
0.52
0.67
0.39
0.67
0.66
0.41
0.74
0.31
0.57
0.7
0.74
0.33
0.6
0.79
0.74
0.45
0.68
0.41
0.82
0.38
0.55
0.3
0.66
0.74
0.73
0.7
0.81
0.53
0.63
0.72
0.69
0.57
0.33
0.5
0.54
0.68
0.71
0.64
0.71
0.76
0.45
0.7
