,name,album,release_date,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
468,Never Grow Up,Speak Now,2010-10-25,8,0.819,0.714,0.305,0.0,0.174,-8.837,0.0305,124.91,0.554,48,290466
469,Enchanted,Speak Now,2010-10-25,9,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,0.208,66,352186
470,Better Than Revenge,Speak Now,2010-10-25,10,0.0139,0.516,0.917,6.37e-06,0.36,-3.186,0.0827,145.821,0.635,54,217160
471,Innocent,Speak Now,2010-10-25,11,0.186,0.552,0.608,0.0,0.125,-5.29,0.0259,134.05,0.17,42,302253
472,Haunted,Speak Now,2010-10-25,12,0.0826,0.436,0.95,1.08e-06,0.149,-2.627,0.057,162.088,0.352,49,242080
473,Last Kiss,Speak Now,2010-10-25,13,0.57,0.371,0.341,3.09e-05,0.101,-9.475,0.0319,89.038,0.196,50,367133
474,Long Live,Speak Now,2010-10-25,14,0.036,0.418,0.68,7.59e-05,0.108,-4.3,0.0346,204.125,0.142,50,317946
475,Jump Then Fall,Fearless Platinum Edition,2008-11-11,1,0.111,0.618,0.687,0.0,0.0693,-5.737,0.0271,79.991,0.82,42,237066
476,Untouchable,Fearless Platinum Edition,2008-11-11,2,0.0583,0.419,0.454,3.78e-06,0.0974,-6.809,0.0335,200.017,0.288,41,311040
477,Forever & Always - Piano Version,Fearless Platinum Edition,2008-11-11,3,0.852,0.592,0.16,0.0,0.116,-10.785,0.0347,118.929,0.294,42,267506
478,Come In With The Rain,Fearless Platinum Edition,2008-11-11,4,0.0868,0.527,0.475,4.34e-06,0.248,-6.205,0.0258,143.962,0.224,41,238106
479,SuperStar,Fearless Platinum Edition,2008-11-11,5,0.367,0.61,0.531,0.0,0.351,-6.123,0.0239,85.979,0.228,39,261453
480,The Other Side Of The Door,Fearless Platinum Edition,2008-11-11,6,0.169,0.476,0.816,0.0,0.238,-4.279,0.0347,163.847,0.469,40,237600
481,Fearless,Fearless Platinum Edition,2008-11-11,7,0.0364,0.598,0.714,1.04e-06,0.31,-4.397,0.0273,99.979,0.467,43,242000
482,Fifteen,Fearless Platinum Edition,2008-11-11,8,0.0728,0.559,0.636,0.0,0.144,-4.4,0.0263,95.485,0.214,42,294346
483,Love Story,Fearless Platinum Edition,2008-11-11,9,0.157,0.618,0.736,0.0,0.073,-3.937,0.0308,118.982,0.307,49,235280
484,Hey Stephen,Fearless Platinum Edition,2008-11-11,10,0.168,0.843,0.553,2.66e-06,0.107,-7.348,0.0317,115.997,0.825,41,254320
485,White Horse,Fearless Platinum Edition,2008-11-11,11,0.302,0.585,0.346,0.0,0.102,-8.014,0.0256,92.564,0.195,42,234440
486,You Belong With Me,Fearless Platinum Edition,2008-11-11,12,0.164,0.687,0.771,2.46e-05,0.112,-4.424,0.0384,129.964,0.445,50,231146
487,Breathe,Fearless Platinum Edition,2008-11-11,13,0.373,0.498,0.486,0.0,0.113,-7.384,0.0273,147.952,0.17,41,263986
488,Tell Me Why,Fearless Platinum Edition,2008-11-11,14,0.0606,0.601,0.852,3.41e-06,0.37,-3.096,0.0386,100.015,0.513,39,200560
489,You're Not Sorry,Fearless Platinum Edition,2008-11-11,15,0.13,0.459,0.459,2.3e-06,0.113,-4.126,0.0275,134.018,0.281,40,261800
490,The Way I Loved You,Fearless Platinum Edition,2008-11-11,16,0.0322,0.436,0.712,0.0,0.111,-3.689,0.0329,160.886,0.379,41,244240
491,Forever & Always,Fearless Platinum Edition,2008-11-11,17,0.0907,0.605,0.829,0.0,0.106,-4.993,0.0549,128.012,0.514,41,225333
492,The Best Day,Fearless Platinum Edition,2008-11-11,18,0.611,0.664,0.447,1e-06,0.139,-8.535,0.0292,126.079,0.364,39,245346
493,Change,Fearless Platinum Edition,2008-11-11,19,0.00471,0.548,0.756,0.0,0.117,-4.175,0.036,96.038,0.224,38,281053
494,Fearless,Fearless,2008-11-11,1,0.04,0.594,0.712,0.0,0.309,-4.418,0.0273,99.972,0.476,57,241986
495,Fifteen,Fearless,2008-11-11,2,0.067,0.556,0.651,0.0,0.145,-4.396,0.0266,95.485,0.203,55,294333
496,Love Story,Fearless,2008-11-11,3,0.17,0.618,0.741,0.0,0.0822,-3.95,0.031,118.984,0.296,67,235266
497,Hey Stephen,Fearless,2008-11-11,4,0.194,0.841,0.544,2.48e-06,0.108,-7.347,0.0309,115.994,0.831,45,254306
498,White Horse,Fearless,2008-11-11,5,0.305,0.578,0.34,0.0,0.104,-8.027,0.0264,92.702,0.223,51,234426
499,You Belong With Me,Fearless,2008-11-11,6,0.162,0.687,0.783,1.35e-05,0.114,-4.44,0.0386,129.964,0.443,67,231133
500,Breathe,Fearless,2008-11-11,7,0.379,0.505,0.482,0.0,0.113,-7.372,0.0276,73.975,0.184,43,263973
501,Tell Me Why,Fearless,2008-11-11,8,0.0571,0.604,0.855,3.65e-06,0.343,-3.097,0.038,99.96,0.51,41,200546
502,You're Not Sorry,Fearless,2008-11-11,9,0.146,0.475,0.452,1.36e-06,0.108,-4.134,0.027,133.959,0.276,44,261786
503,The Way I Loved You,Fearless,2008-11-11,10,0.0408,0.433,0.7,0.0,0.115,-3.709,0.0336,160.927,0.398,50,244226
504,Forever & Always,Fearless,2008-11-11,11,0.0752,0.608,0.821,0.0,0.11,-4.985,0.0576,128.042,0.544,46,225320
505,The Best Day,Fearless,2008-11-11,12,0.647,0.666,0.434,1.95e-06,0.124,-8.543,0.0289,126.084,0.396,44,245333
506,Change,Fearless,2008-11-11,13,0.00408,0.541,0.77,0.0,0.117,-4.17,0.0354,96.013,0.215,39,280240
507,Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,1,0.659,0.741,0.444,0.0,0.131,-7.031,0.0311,119.006,0.512,38,221028
508,Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,2,0.814,0.623,0.266,0.0,0.145,-5.894,0.026,96.601,0.467,38,198247
509,Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,3,0.596,0.627,0.704,0.0,0.0598,-3.739,0.0269,98.958,0.457,41,176316
510,Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,4,0.856,0.731,0.184,0.0,0.0927,-9.235,0.0418,102.404,0.331,35,222959
511,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,5,0.664,0.344,0.801,0.0,0.106,-5.373,0.0574,204.489,0.615,33,196346
512,Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,6,0.266,0.647,0.872,0.0,0.419,-1.953,0.0524,105.798,0.684,33,173899
513,Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,7,0.399,0.429,0.808,0.0,0.0884,-3.004,0.0677,171.537,0.438,33,228473
514,Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008-06-28,8,0.156,0.243,0.712,0.0,0.111,-4.307,0.0577,202.319,0.273,31,258487
515,Tim McGraw,Taylor Swift,2006-10-24,1,0.575,0.58,0.491,0.0,0.121,-6.462,0.0251,76.009,0.425,65,232106
516,Picture To Burn,Taylor Swift,2006-10-24,2,0.173,0.658,0.877,0.0,0.0962,-2.098,0.0323,105.586,0.821,68,173066
517,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,3,0.288,0.621,0.417,0.0,0.119,-6.941,0.0231,99.953,0.289,65,203040
518,A Place in this World,Taylor Swift,2006-10-24,4,0.051,0.576,0.777,0.0,0.32,-2.881,0.0324,115.028,0.428,57,199200
519,Cold As You,Taylor Swift,2006-10-24,5,0.217,0.418,0.482,0.0,0.123,-5.769,0.0266,175.558,0.261,57,239013
520,The Outside,Taylor Swift,2006-10-24,6,0.00491,0.589,0.805,0.0,0.24,-4.055,0.0293,112.982,0.591,55,207106
521,Tied Together with a Smile,Taylor Swift,2006-10-24,7,0.525,0.479,0.578,0.0,0.0841,-4.963,0.0294,146.165,0.192,56,248106
522,Stay Beautiful,Taylor Swift,2006-10-24,8,0.0868,0.594,0.629,0.0,0.137,-4.919,0.0246,131.597,0.504,56,236053
523,Should've Said No,Taylor Swift,2006-10-24,9,0.0103,0.476,0.777,0.0,0.196,-3.771,0.0289,167.964,0.472,64,242200
524,Mary's Song (Oh My My My),Taylor Swift,2006-10-24,10,0.0177,0.403,0.627,0.0,0.182,-5.28,0.0292,74.9,0.374,58,213080
525,Our Song,Taylor Swift,2006-10-24,11,0.111,0.668,0.672,0.0,0.329,-4.931,0.0303,89.011,0.539,72,201106
526,I'm Only Me When I'm With You,Taylor Swift,2006-10-24,12,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,58,213053
527,Invisible,Taylor Swift,2006-10-24,13,0.637,0.612,0.394,0.0,0.147,-5.723,0.0243,96.001,0.233,55,203226
528,A Perfectly Good Heart,Taylor Swift,2006-10-24,14,0.00349,0.483,0.751,0.0,0.128,-5.726,0.0365,156.092,0.268,53,220146
529,Teardrops on My Guitar - Pop Version,Taylor Swift,2006-10-24,15,0.0402,0.459,0.753,0.0,0.0863,-3.827,0.0537,199.997,0.483,54,179066
